time,Overall_usage
2016-06-25,0.45004581018749995
2016-06-26,0.35116231481805554
2016-06-27,0.6748912037083333
2016-06-28,0.6029925925868056
2016-06-29,0.47807166665694445
2016-06-30,0.42855914350486113
2016-07-01,0.5552209953826389
2016-07-02,0.4380098148166667
2016-07-03,0.5950326388875
2016-07-04,0.7561527198888889
2016-07-05,0.46453665510555553
2016-07-06,0.8622397916902778
2016-07-07,1.3933486805694444
2016-07-08,1.2019953819618057
2016-07-09,0.5307140856534722
2016-07-10,0.5912239467645833
2016-07-11,0.5613146180437499
2016-07-12,0.5195546296347222
2016-07-13,1.30772856479375
2016-07-14,1.3385310763916667
2016-07-15,1.9909223032159724
2016-07-16,1.7696173379479168
2016-07-17,2.241556759261111
2016-07-18,1.5117983680437501
2016-07-19,0.7951264004652777
